run_id,architecture,domain,difficulty,iteration_cap,id,question,gold_answer,raw_prediction,prediction,exact_match,f1,total_input_tokens,total_output_tokens,total_steps,elapsed_seconds,top_k,error
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5ab25004554299722f9b4cd7,Were both the Battle of Stones River and the Battle of the Ch'ongch'on River fought in the 19th century?,no,No,No,1,1.0,1543,27,3,2.09,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,no,no,no,1,1.0,1026,27,3,1.01,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,yes,yes,0,0.0,1193,27,3,0.9,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a717d4c5542994082a3e854,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov,Pavel Alexandrov,Pavel Alexandrov,0,0.8,1012,30,3,1.07,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a7cbf8c554299452d57b9f4,"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur,Dinosaur,1,1.0,1298,28,3,1.03,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a88d745554299206df2b378,What occupation was shared by David Yates and Pietro Germi?,director,director,director,1,1.0,894,27,3,0.93,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,film director,film director,0,0.6667,891,28,3,1.03,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a8e068b5542995085b37384,Are Ferocactus and Silene both types of plant?,yes,yes,yes,1,1.0,1458,27,3,0.93,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5abc8620554299700f9d78e2,What type of media does Bitter Jester and Sicko have in common?,documentary,documentary,documentary,1,1.0,1001,28,3,1.03,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5ab51dae5542991779162d82,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,No,No,1,1.0,1615,27,3,0.92,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5abf44025542993fe9a41def,which writer has the highest number of skill  Langston Hughes or  Ian McEwan,Langston Hughes,Ian McEwan,Ian McEwan,0,0.0,1087,30,3,1.46,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a7ec61a55429934daa2fc5f,Are Staten Island Catapult and This Is Elvis both documentaries?,yes,yes,yes,1,1.0,1170,27,3,0.91,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,Yes,Yes,1,1.0,1310,27,3,0.95,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a7574e25542996c70cfaf01,Who was born first Mahbub ul Haq or Ibn Arabi?,ibnʿArabī,Ibn Arabi,Ibn Arabi,0,0.0,1244,34,3,1.34,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a738225554299623ed4abc3,"Which musical fantasy film is older, Bedknobs and Broomsticks or The Muppet Christmas Carol?",Bedknobs and Broomsticks,Bedknobs and Broomsticks,Bedknobs and Broomsticks,1,1.0,1321,33,3,1.05,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5ac298f9554299657fa28fc9,"Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?",Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,Ian Watkins,Ian Watkins,0,0.125,1198,28,3,0.93,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5ab642845542995eadeeff8e,Are Broughtonia and Laeliocattleya both orchids?,yes,yes,yes,1,1.0,1243,27,3,0.93,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a78b209554299148911f93e,"Which playwright lived a longer life, Edward Albee or J. M. Barrie?",Edward Franklin Albee III,Edward Albee,Edward Albee,0,0.6667,794,29,3,1.04,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5ac45b58554299076e296dad,"Which has the larger population, Shanghai or Hanggin Rear Banner?",Shanghai,Shanghai,Shanghai,1,1.0,1576,28,3,0.94,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a7332935542991f9a20c67d,"Which board game was published most recently, Pirate's Cove or Catan?",Pirate's Cove,The Rivals for Catan,The Rivals for Catan,0,0.0,2578,239,5,6.53,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a79c1335542994bb9457066,Eric Ambler and Carol Shields are both best Known for what profession?,author,novelist,novelist,0,0.0,1395,32,3,1.14,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a7be5bd5542997c3ec972ba,"Which dog is considered a giant dog breed, the  Leonberger or the Basset Hound?",The Leonberger is a giant dog breed.,Leonberger,Leonberger,0,0.3333,1469,28,3,0.99,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5ab3306a55429969a97a80fd,The movies The Boatniks and The Great Locomotive Chase were both made by which production company?,Walt Disney Productions,"The provided context paragraphs do not contain information about the movie *The Boatniks* or the production company for *The Great Locomotive Chase* (the context only mentions the 1926 film *The General*). Therefore, the question cannot be answered using only the provided context.","The provided context paragraphs do not contain information about the movie *The Boatniks* or the production company for *The Great Locomotive Chase* (the context only mentions the 1926 film *The General*). Therefore, the question cannot be answered using only the provided context.",0,0.0,1221,89,3,2.47,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5abbd3ac55429931dba1458b,Are both Duke Energy and Affiliated Managers Group based in Massachusetts?,no,no,no,1,1.0,855,27,3,1.09,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5adc0c2b55429947ff1738db,Are Agee and To Shoot an Elephant both documentaries about war?,no,no,no,1,1.0,919,27,3,0.92,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Yes,Yes,1,1.0,1322,27,3,1.05,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a84c4135542994c784dda31,Are Yingkou and Fuding the same level of city?,no,No,No,1,1.0,806,27,3,0.94,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5ae4d3c95542990ba0bbb165,In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,"Istanbul, Turkey",Istanbul,Istanbul,0,0.6667,1593,28,3,1.0,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a7e7ed05542991319bc94c2,"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s.",Gallery,Gallery,0,0.0,1265,27,3,1.06,3,
level3_hotpotqa_easy_cap2,level3,hotpotqa,easy,2,5a7a455c5542994f819ef1a7,"Who died first, George Archainbaud or Ralph Murphy?",George Archainbaud,Ralph Murphy,Ralph Murphy,0,0.0,957,29,3,0.94,3,
