run_id,architecture,domain,difficulty,iteration_cap,id,question,gold_answer,raw_prediction,prediction,exact_match,f1,total_input_tokens,total_output_tokens,total_steps,elapsed_seconds,top_k,error
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5ab25004554299722f9b4cd7,Were both the Battle of Stones River and the Battle of the Ch'ongch'on River fought in the 19th century?,no,No,No,1,1.0,4777,99,2,4.47,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,no,Yes,Yes,0,0.0,2379,53,2,1.47,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,Yes,Yes,0,0.0,5831,60,2,2.05,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5a717d4c5542994082a3e854,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov,Pavel Alexandrov,Pavel Alexandrov,0,0.8,2102,59,2,1.67,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5a7cbf8c554299452d57b9f4,"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur,Dinosaur,1,1.0,3926,57,2,1.76,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5a88d745554299206df2b378,What occupation was shared by David Yates and Pietro Germi?,director,director,director,1,1.0,2112,56,2,1.71,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,film director,film director,0,0.6667,2015,54,2,1.47,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5a8e068b5542995085b37384,Are Ferocactus and Silene both types of plant?,yes,yes,yes,1,1.0,3043,55,2,1.6,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5abc8620554299700f9d78e2,What type of media does Bitter Jester and Sicko have in common?,documentary,documentary film,documentary film,0,0.6667,2548,62,2,1.79,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5ab51dae5542991779162d82,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,No,No,1,1.0,3311,57,2,1.74,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5abf44025542993fe9a41def,which writer has the highest number of skill  Langston Hughes or  Ian McEwan,Langston Hughes,Langston Hughes,Langston Hughes,1,1.0,3187,68,2,1.88,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5a7ec61a55429934daa2fc5f,Are Staten Island Catapult and This Is Elvis both documentaries?,yes,yes,yes,1,1.0,2643,51,2,1.5,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,Yes,Yes,1,1.0,3025,55,2,1.63,10,
level2a_hotpotqa_easy_k10_cap2,level2a,hotpotqa,easy,2,5a7574e25542996c70cfaf01,Who was born first Mahbub ul Haq or Ibn Arabi?,ibnʿArabī,Ibn Arabi,Ibn Arabi,0,0.0,3841,66,2,1.99,10,
