run_id,architecture,domain,difficulty,iteration_cap,id,question,gold_answer,raw_prediction,prediction,exact_match,f1,total_input_tokens,total_output_tokens,total_steps,elapsed_seconds,error
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5ae738f75542991bbc9761c4,What year was the brother of this first round draft pick by the Washington Redskins drafted?,2003,2003,2003,1,1.0,2992,88,2,4.02,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,Pedro Rodríguez,Pedro Rodríguez,1,1.0,2005,103,2,3.54,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,YG Entertainment,1,1.0,2198,95,2,3.32,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5abbf698554299114383a0b5,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra,The English Electric Canberra,The English Electric Canberra,1,1.0,2544,93,2,3.15,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5a760ab65542994ccc918697,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,Nelson Rockefeller,Nelson Rockefeller,1,1.0,3697,134,2,4.39,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5a74106b55429979e288289e,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,Mumbai,Mumbai,1,1.0,1868,85,2,2.89,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,"The provided context paragraphs do not contain information about Kasper Schmeichel, his father, or any IFFHS awards given in 1992. Therefore, the question cannot be answered from the given text.","The provided context paragraphs do not contain information about Kasper Schmeichel, his father, or any IFFHS awards given in 1992. Therefore, the question cannot be answered from the given text.",0,0.0,2216,141,2,4.33,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969-1974,1969-1974,0,0.0,2501,91,2,4.76,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5ae5736e5542990ba0bbb2b3,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","April 1, 1949","April 1, 1949","April 1, 1949",1,1.0,2567,142,2,4.94,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","9,984","9,984",1,1.0,3019,613,2,19.27,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5ae2b770554299495565db0f,"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April,March and April,March and April,1,1.0,1526,76,2,3.81,
level2a_hotpotqa_hard_cap2,level2a,hotpotqa,hard,2,5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Teen Titans Go!,Teen Titans Go!,Teen Titans Go!,1,1.0,2046,87,2,3.41,
