run_id,architecture,domain,difficulty,iteration_cap,id,question,gold_answer,raw_prediction,prediction,exact_match,f1,total_input_tokens,total_output_tokens,total_steps,elapsed_seconds,top_k,error
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5ae738f75542991bbc9761c4,What year was the brother of this first round draft pick by the Washington Redskins drafted?,2003,1999,1999,0,0.0,1538,30,3,2.35,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,Pedro Rodríguez,Pedro Rodríguez,1,1.0,1213,29,3,1.07,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,YG Entertainment,1,1.0,1003,28,3,0.93,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5abbf698554299114383a0b5,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra,None,None,0,0.0,2957,163,6,4.12,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5a760ab65542994ccc918697,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,Nelson Rockefeller,Nelson Rockefeller,1,1.0,3404,150,5,4.09,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5a74106b55429979e288289e,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,"The provided context paragraphs do not contain information about Sachin Warrier. Therefore, the question cannot be answered using the given text.","The provided context paragraphs do not contain information about Sachin Warrier. Therefore, the question cannot be answered using the given text.",0,0.0,1150,52,3,1.56,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,World's Best Goalkeeper,World's Best Goalkeeper,1,1.0,1349,35,3,1.07,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969-1974,1969-1974,0,0.0,1376,35,3,1.12,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5ae5736e5542990ba0bbb2b3,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","April 1, 1949",c. 1964,c. 1964,0,0.0,1594,33,3,1.05,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","331,002,651","331,002,651",0,0.0,1553,41,3,1.22,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5ae2b770554299495565db0f,"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April,March and April,March and April,1,1.0,798,29,3,0.96,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Teen Titans Go!,Teen Titans Go!,Teen Titans Go!,1,1.0,1213,30,3,1.09,3,
level3_hotpotqa_hard_cap2,level3,hotpotqa,hard,2,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh,1,1.0,1313,31,3,0.98,3,
