run_id,architecture,domain,difficulty,iteration_cap,id,question,gold_answer,raw_prediction,prediction,exact_match,f1,total_input_tokens,total_output_tokens,total_steps,elapsed_seconds,error
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5ae738f75542991bbc9761c4,What year was the brother of this first round draft pick by the Washington Redskins drafted?,2003,1999,1999,0,0.0,1710,32,2,03.02,
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro RodrĂ­guez,Pedro RodrĂ­guez,Pedro RodrĂ­guez,1,1.0,1372,31,2,14.01,
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,YG Entertainment,1,1.0,1081,30,2,9.03,
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5abbf698554299114383a0b5,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra,The provided context does not contain a British first-generation jet-powered medium bomber used in the South West Pacific theatre of World War II.,The provided context does not contain a British first-generation jet-powered medium bomber used in the South West Pacific theatre of World War II.,0,0.0,3268,261,4,22.08,
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5a760ab65542994ccc918697,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,Nelson Rockefeller,Nelson Rockefeller,1,1.0,3736,138,4,8.04,
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5a74106b55429979e288289e,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,"Mumbai, Maharashtra","Mumbai, Maharashtra",0,0.6667,2422,219,4,6.96,
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,World's Best Goalkeeper,World's Best Goalkeeper,1,1.0,1370,33,2,25.01,
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969-1974,1969-1974,0,0.0,1592,37,2,1.56,
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5ae5736e5542990ba0bbb2b3,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","April 1, 1949","April 1, 1949","April 1, 1949",1,1.0,3611,238,4,29.07,
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","331,002,651","331,002,651",0,0.0,1615,39,2,1.37,
level2b_hotpotqa_hard_cap2,level2b,hotpotqa,hard,2,5ae2b770554299495565db0f,"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April,March and April,March and April,1,1.0,890,31,2,21.01,
