run_id,architecture,domain,difficulty,iteration_cap,id,question,gold_answer,raw_prediction,prediction,exact_match,f1,total_input_tokens,total_output_tokens,total_steps,elapsed_seconds,top_k,error
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae738f75542991bbc9761c4,What year was the brother of this first round draft pick by the Washington Redskins drafted?,2003,2003,2003,1,1.0,4726,55,2,2.92,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae7a8175542993210983ed8,Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,Pedro Rodríguez,Pedro Rodríguez,1,1.0,2944,72,2,1.96,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5abd94525542992ac4f382d2,2014 S/S is the debut album of a South Korean boy group that was formed by who?,YG Entertainment,YG Entertainment,YG Entertainment,1,1.0,3092,47,2,1.51,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5abbf698554299114383a0b5,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra,"The English Electric Canberra is identified as a British first-generation jet-powered medium bomber. However, the text states it was introduced to service in May 1951, which is after World War II ended in 1945. No. 2 Squadron RAAF operated Canberras in the Malayan Emergency and Vietnam War, not WWII. No. 12 Squadron RAAF served in the South West Pacific theatre during WWII but operated as a heavy bomber unit from February 1945 until the end of the war, and there is no mention of it using jet-powered aircraft (which were not in service then). Therefore, no British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II.

None",None,0,0.0,3601,204,2,4.99,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a760ab65542994ccc918697,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,Nelson Rockefeller,Nelson Rockefeller,1,1.0,5757,58,2,2.13,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a74106b55429979e288289e,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,"Mumbai, Maharashtra","Mumbai, Maharashtra",0,0.6667,2762,47,2,1.43,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae22b8d554299234fd0440f,What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,World's Best Goalkeeper,World's Best Goalkeeper,1,1.0,2888,66,2,1.9,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae0d4c9554299603e418468,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1969-1974,1969-1974,0,0.0,3829,49,2,1.53,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae5736e5542990ba0bbb2b3,"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?","April 1, 1949","April 1, 1949","April 1, 1949",1,1.0,3666,67,2,2.03,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a75e05c55429976ec32bc5f,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","The provided context paragraphs do not contain the population of the United States. Therefore, the question cannot be answered using only the provided evidence.","The provided context paragraphs do not contain the population of the United States. Therefore, the question cannot be answered using only the provided evidence.",0,0.0,3550,64,2,1.99,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae2b770554299495565db0f,"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April,March and April,March and April,1,1.0,2489,55,2,1.57,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae5aba0554299546bf82f17,"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Teen Titans Go!,Teen Titans,Teen Titans,0,0.8,3102,54,2,1.62,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a85b2d95542997b5ce40028,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,Eenasul Fateh,Eenasul Fateh,Eenasul Fateh,1,1.0,4098,63,2,2.22,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae7eaf65542994a481bbe1d,When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? ,7 October 1978,7 October 1978,7 October 1978,1,1.0,3755,59,2,1.9,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a774e9c55429972597f14f3,David Huntsinger has worked with this gospel singer born in the month of July?,Larnelle Harris,Larnelle Harris,Larnelle Harris,1,1.0,3457,51,2,1.76,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a7571135542992d0ec05f98,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,New York City,New York City,1,1.0,3047,46,2,1.54,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a79311755429970f5fffe67,"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,1962,1962,1,1.0,3974,53,2,1.85,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae2dd2055429928c423950d,"What is the county seat of the county where East Lempster, New Hampshire is located?",Newport,Newport,Newport,1,1.0,2903,40,2,1.54,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a80b3a9554299485f5986cc,Tysons Galleria is located in what county?,Fairfax County,Fairfax County,Fairfax County,1,1.0,2833,52,2,1.53,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a8ef2a75542995a26add583,Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,2000,2000,1,1.0,2946,45,2,1.49,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a818387554299260e20a291,"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,Blake Shelton,Blake Shelton,1,1.0,3489,66,2,2.08,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5aba7cfe554299232ef4a2fd,The 2017–18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,Carabao Cup,Carabao Cup,Carabao Cup,1,1.0,3032,66,2,1.91,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a8bb29b554299240d9c2089,Which American film actor and dancer starred in the 1945 film Johnny Angel?,George Raft,George Raft,George Raft,1,1.0,3005,64,2,2.07,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae37c765542992f92d822d4,"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?",Tromeo and Juliet,Tromeo and Juliet,Tromeo and Juliet,1,1.0,3229,62,2,1.7,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a8b8b3155429949d91db5d7,What type of activity does Owner earnings and Warren Buffett have in common?,business,Investing,Investing,0,0.0,2687,53,2,1.65,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a8c7595554299585d9e36b6,What government position was held by the woman who portrayed Corliss Archer in the film Kiss and Tell?,Chief of Protocol,Chief of Protocol of the United States,Chief of Protocol of the United States,0,0.6667,3062,63,2,1.87,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a828c8355429966c78a6a50,Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,Henry J. Kaiser,Henry J. Kaiser,1,1.0,2859,57,2,1.7,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae32e125542991a06ce9946,"According to the 2001 census, what was the population of the city in which Kirton End is located?","35,124","35,124","35,124",1,1.0,3231,48,2,1.48,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5ae53b545542990ba0bbb23c,Where does the hotel and casino located in which Bill Cosby's third album was recorded?,Las Vegas Strip in Paradise,"Paradise, Nevada","Paradise, Nevada",0,0.2857,1975,58,2,1.58,10,
level2a_hotpotqa_hard_k10_cap2,level2a,hotpotqa,hard,2,5a8a3e745542996c9b8d5e70,"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,Arena of Khazan,Arena of Khazan,1,1.0,2788,68,2,1.97,10,
