run_id,architecture,domain,difficulty,iteration_cap,id,question,gold_answer,raw_prediction,prediction,exact_match,f1,total_input_tokens,total_output_tokens,total_steps,elapsed_seconds,top_k,error
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5ab25004554299722f9b4cd7,Were both the Battle of Stones River and the Battle of the Ch'ongch'on River fought in the 19th century?,no,No,No,1,1.0,4789,29,2,2.41,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,no,yes,yes,0,0.0,2437,25,2,0.91,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,Yes,Yes,0,0.0,5885,25,2,1.24,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a717d4c5542994082a3e854,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov,Pavel Alexandrov,Pavel Alexandrov,0,0.8,2160,28,2,0.77,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a7cbf8c554299452d57b9f4,"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur,Dinosaur,1,1.0,3982,30,2,1.08,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a88d745554299206df2b378,What occupation was shared by David Yates and Pietro Germi?,director,director,director,1,1.0,2169,29,2,0.83,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,film director,film director,0,0.6667,2076,30,2,0.83,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a8e068b5542995085b37384,Are Ferocactus and Silene both types of plant?,yes,yes,yes,1,1.0,3101,29,2,0.93,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5abc8620554299700f9d78e2,What type of media does Bitter Jester and Sicko have in common?,documentary,documentary,documentary,1,1.0,2602,26,2,0.79,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5ab51dae5542991779162d82,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,No,No,1,1.0,3367,25,2,0.84,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5abf44025542993fe9a41def,which writer has the highest number of skill  Langston Hughes or  Ian McEwan,Langston Hughes,Langston Hughes,Langston Hughes,1,1.0,3233,27,2,0.87,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a7ec61a55429934daa2fc5f,Are Staten Island Catapult and This Is Elvis both documentaries?,yes,yes,yes,1,1.0,2705,25,2,0.83,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,Yes,Yes,1,1.0,3083,29,2,0.92,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a7574e25542996c70cfaf01,Who was born first Mahbub ul Haq or Ibn Arabi?,ibnʿArabī,Ibn Arabi,Ibn Arabi,0,0.0,3892,32,2,1.14,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a738225554299623ed4abc3,"Which musical fantasy film is older, Bedknobs and Broomsticks or The Muppet Christmas Carol?",Bedknobs and Broomsticks,Bedknobs and Broomsticks,Bedknobs and Broomsticks,1,1.0,3185,31,2,4.52,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5ac298f9554299657fa28fc9,"Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?",Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,Ian Watkins,Ian Watkins,0,0.125,2608,30,2,1.13,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5ab642845542995eadeeff8e,Are Broughtonia and Laeliocattleya both orchids?,yes,Yes,Yes,1,1.0,2463,29,2,1.04,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a78b209554299148911f93e,"Which playwright lived a longer life, Edward Albee or J. M. Barrie?",Edward Franklin Albee III,J. M. Barrie,J. M. Barrie,0,0.0,2364,34,2,1.22,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5ac45b58554299076e296dad,"Which has the larger population, Shanghai or Hanggin Rear Banner?",Shanghai,Shanghai,Shanghai,1,1.0,3902,30,2,1.25,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a7332935542991f9a20c67d,"Which board game was published most recently, Pirate's Cove or Catan?",Pirate's Cove,Pirate's Cove,Pirate's Cove,1,1.0,3018,28,2,1.14,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a79c1335542994bb9457066,Eric Ambler and Carol Shields are both best Known for what profession?,author,writer,writer,0,0.0,2831,29,2,1.14,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a7be5bd5542997c3ec972ba,"Which dog is considered a giant dog breed, the  Leonberger or the Basset Hound?",The Leonberger is a giant dog breed.,Leonberger,Leonberger,0,0.3333,2818,30,2,1.12,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5ab3306a55429969a97a80fd,The movies The Boatniks and The Great Locomotive Chase were both made by which production company?,Walt Disney Productions,Walt Disney Productions,Walt Disney Productions,1,1.0,2686,32,2,1.14,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5abbd3ac55429931dba1458b,Are both Duke Energy and Affiliated Managers Group based in Massachusetts?,no,No,No,1,1.0,2559,25,2,0.92,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5adc0c2b55429947ff1738db,Are Agee and To Shoot an Elephant both documentaries about war?,no,no,no,1,1.0,2923,29,2,1.04,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Yes,Yes,1,1.0,2817,29,2,1.14,10,
level2b_hotpotqa_easy_k10_cap2,level2b,hotpotqa,easy,2,5a84c4135542994c784dda31,Are Yingkou and Fuding the same level of city?,no,No,No,1,1.0,1695,25,2,0.92,10,
