run_id,architecture,domain,difficulty,iteration_cap,id,question,gold_answer,raw_prediction,prediction,exact_match,f1,total_input_tokens,total_output_tokens,total_steps,elapsed_seconds,error
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5ab25004554299722f9b4cd7,Were both the Battle of Stones River and the Battle of the Ch'ongch'on River fought in the 19th century?,no,no,no,1,1.0,3150,181,2,6.78,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,no,no,no,1,1.0,1703,98,2,4.59,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,Yes,Yes,0,0.0,4840,124,2,4.76,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a717d4c5542994082a3e854,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov,Pavel Alexandrov,Pavel Alexandrov,0,0.8,1496,94,2,3.38,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a7cbf8c554299452d57b9f4,"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur,Dinosaur,1,1.0,2881,97,2,3.63,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a88d745554299206df2b378,What occupation was shared by David Yates and Pietro Germi?,director,film director,film director,0,0.6667,1554,74,2,2.75,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,director,director,1,1.0,1536,87,2,3.09,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a8e068b5542995085b37384,Are Ferocactus and Silene both types of plant?,yes,yes,yes,1,1.0,2285,76,2,2.86,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5abc8620554299700f9d78e2,What type of media does Bitter Jester and Sicko have in common?,documentary,documentary film,documentary film,0,0.6667,1793,97,2,3.3,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5ab51dae5542991779162d82,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,No,No,1,1.0,2235,123,2,4.25,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5abf44025542993fe9a41def,which writer has the highest number of skill  Langston Hughes or  Ian McEwan,Langston Hughes,Ian McEwan,Ian McEwan,0,0.0,2106,136,2,4.65,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a7ec61a55429934daa2fc5f,Are Staten Island Catapult and This Is Elvis both documentaries?,yes,no,no,0,0.0,1915,103,2,3.48,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,Yes,Yes,1,1.0,2094,90,2,5.18,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a7574e25542996c70cfaf01,Who was born first Mahbub ul Haq or Ibn Arabi?,ibnʿArabī,Ibn Arabi,Ibn Arabi,0,0.0,2871,98,2,3.65,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a738225554299623ed4abc3,"Which musical fantasy film is older, Bedknobs and Broomsticks or The Muppet Christmas Carol?",Bedknobs and Broomsticks,Bedknobs and Broomsticks,Bedknobs and Broomsticks,1,1.0,2197,123,2,4.13,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5ac298f9554299657fa28fc9,"Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?",Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,Ian Watkins,Ian Watkins,0,0.125,1761,110,2,3.69,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5ab642845542995eadeeff8e,Are Broughtonia and Laeliocattleya both orchids?,yes,Yes,Yes,1,1.0,1669,114,2,3.86,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a78b209554299148911f93e,"Which playwright lived a longer life, Edward Albee or J. M. Barrie?",Edward Franklin Albee III,J. M. Barrie,J. M. Barrie,0,0.0,1673,134,2,5.72,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5ac45b58554299076e296dad,"Which has the larger population, Shanghai or Hanggin Rear Banner?",Shanghai,Shanghai,Shanghai,1,1.0,2689,83,2,3.26,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a7332935542991f9a20c67d,"Which board game was published most recently, Pirate's Cove or Catan?",Pirate's Cove,Catan,Catan,0,0.0,2073,100,2,3.72,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a79c1335542994bb9457066,Eric Ambler and Carol Shields are both best Known for what profession?,author,writer,writer,0,0.0,1929,85,2,3.2,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a7be5bd5542997c3ec972ba,"Which dog is considered a giant dog breed, the  Leonberger or the Basset Hound?",The Leonberger is a giant dog breed.,Leonberger,Leonberger,0,0.3333,1824,85,2,3.2,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5ab3306a55429969a97a80fd,The movies The Boatniks and The Great Locomotive Chase were both made by which production company?,Walt Disney Productions,Walt Disney Productions,Walt Disney Productions,1,1.0,1859,108,2,3.72,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5abbd3ac55429931dba1458b,Are both Duke Energy and Affiliated Managers Group based in Massachusetts?,no,No,No,1,1.0,1975,75,2,2.8,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5adc0c2b55429947ff1738db,Are Agee and To Shoot an Elephant both documentaries about war?,no,no,no,1,1.0,2012,129,2,4.44,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a8b57f25542995d1e6f1371,Were Scott Derrickson and Ed Wood of the same nationality?,yes,Yes,Yes,1,1.0,1972,84,2,3.03,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a84c4135542994c784dda31,Are Yingkou and Fuding the same level of city?,no,No,No,1,1.0,1223,72,2,2.56,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5ae4d3c95542990ba0bbb165,In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,"Istanbul, Turkey",Istanbul,Istanbul,0,0.6667,2293,100,2,3.38,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a7e7ed05542991319bc94c2,"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s.",Dime Magazine,Dime Magazine,0,0.2222,2433,98,2,3.33,
level2a_hotpotqa_easy_cap2,level2a,hotpotqa,easy,2,5a7a455c5542994f819ef1a7,"Who died first, George Archainbaud or Ralph Murphy?",George Archainbaud,Ralph Murphy,Ralph Murphy,0,0.0,1932,97,2,3.22,
