run_id,architecture,domain,difficulty,iteration_cap,id,question,gold_answer,raw_prediction,prediction,exact_match,f1,total_input_tokens,total_output_tokens,total_steps,elapsed_seconds,error
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5ab25004554299722f9b4cd7,Were both the Battle of Stones River and the Battle of the Ch'ongch'on River fought in the 19th century?,no,No,No,1,1.0,2289,2,1,1.0,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5adc53f75542996e6852530a,Are both Cypress and Ajuga genera?,no,yes,yes,0,0.0,1113,2,1,0.27,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5ab56e32554299637185c594,Are Random House Tower and 888 7th Avenue both used for real estate?,no,Yes,Yes,0,0.0,2837,2,1,0.41,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5a717d4c5542994082a3e854,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov,Pavel Alexandrov,Pavel Alexandrov,0,0.8,973,5,1,0.34,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5a7cbf8c554299452d57b9f4,"Which came out first, Dinosaur or McFarland, USA",Dinosaur,Dinosaur,Dinosaur,1,1.0,1885,3,1,0.33,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5a88d745554299206df2b378,What occupation was shared by David Yates and Pietro Germi?,director,filmmaker,filmmaker,0,0.0,979,4,1,0.35,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5aba749055429901930fa7d8,What occupation do Chris Menges and Aram Avakian share?,director,film director,film director,0,0.6667,932,3,1,0.26,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5a8e068b5542995085b37384,Are Ferocactus and Silene both types of plant?,yes,Yes,Yes,1,1.0,1445,2,1,0.32,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5abc8620554299700f9d78e2,What type of media does Bitter Jester and Sicko have in common?,documentary,documentary film,documentary film,0,0.6667,1195,4,1,0.3,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5ab51dae5542991779162d82,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,No,No,1,1.0,1578,2,1,0.29,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5abf44025542993fe9a41def,which writer has the highest number of skill  Langston Hughes or  Ian McEwan,Langston Hughes,Langston Hughes,Langston Hughes,1,1.0,1510,4,1,0.36,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5a7ec61a55429934daa2fc5f,Are Staten Island Catapult and This Is Elvis both documentaries?,yes,yes,yes,1,1.0,1247,2,1,0.28,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5ab29c24554299449642c932,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,Yes,Yes,1,1.0,1436,2,1,0.31,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5a7574e25542996c70cfaf01,Who was born first Mahbub ul Haq or Ibn Arabi?,ibnʿArabī,Ibn Arabi,Ibn Arabi,0,0.0,1839,5,1,0.4,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5a738225554299623ed4abc3,"Which musical fantasy film is older, Bedknobs and Broomsticks or The Muppet Christmas Carol?",Bedknobs and Broomsticks,Bedknobs and Broomsticks,Bedknobs and Broomsticks,1,1.0,1484,8,1,0.4,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5ac298f9554299657fa28fc9,"Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?",Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,Ian Watkins,Ian Watkins,0,0.125,1198,3,1,0.28,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5ab642845542995eadeeff8e,Are Broughtonia and Laeliocattleya both orchids?,yes,Yes,Yes,1,1.0,1126,2,1,0.24,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5a78b209554299148911f93e,"Which playwright lived a longer life, Edward Albee or J. M. Barrie?",Edward Franklin Albee III,J. M. Barrie,J. M. Barrie,0,0.0,1074,7,1,0.36,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5ac45b58554299076e296dad,"Which has the larger population, Shanghai or Hanggin Rear Banner?",Shanghai,Shanghai,Shanghai,1,1.0,1845,3,1,0.37,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5a7332935542991f9a20c67d,"Which board game was published most recently, Pirate's Cove or Catan?",Pirate's Cove,Pirate's Cove,Pirate's Cove,1,1.0,1402,5,1,0.38,
level1_hotpotqa_easy_cap2,level1,hotpotqa,easy,2,5a79c1335542994bb9457066,Eric Ambler and Carol Shields are both best Known for what profession?,author,novelist,novelist,0,0.0,1310,3,1,0.31,
